Realized Gain/Loss for Designated_Bene_Individual for 01/01/2026 to 09/02/2026 as of Wed Sep 02  17:37:22 EDT 2026,,,,,,,,,,,,,,,,,,,,,,,
"Symbol","Name","Closed Date","Quantity","Closing Price","Cost Basis Method","Proceeds","Cost Basis (CB)","Total Gain/Loss ($)","Total Gain/Loss (%)","Long Term (LT) Gain/Loss ($)","Long Term (LT) Gain/Loss (%)","Short Term (ST) Gain/Loss ($)","Short Term (ST) Gain/Loss (%)","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"WHPS","WHPS CORP","5/6/26","100","$172.23","FIFO","$53,751.54","$12,817.30","$40,934.24","319.367105396612%","--","--","$40,934.24","319.367105396612%","No","","5/6/26","","","","","","",""
"WHGU","WHGU INC","5/11/26","100","$306.54","Tax Lot Optimizer","$98,344.51","$29,609.32","$68,735.19","232.140386878186%","$68,735.19","232.140386878186%","--","--","No","","5/11/26","","","","","","",""
"KOWE","KOWE INC","5/15/26","100","$194.97","FIFO","$55,447.54","$26,315.93","$29,131.61","110.699526864527%","--","--","$29,131.61","110.699526864527%","No","","5/15/26","","","","","","",""
"KOWE","KOWE INC","5/26/26","100","$224.37","FIFO","$68,053.04","$20,446.03","$47,607.01","232.842317065954%","--","--","$47,607.01","232.842317065954%","No","","5/26/26","","","","","","",""
"LAUF","LAUF CORP","5/26/26","100","$374.52","FIFO","$99,988.08","$36,253.78","$63,734.30","175.800426879625%","--","--","$63,734.30","175.800426879625%","No","","5/26/26","","","","","","",""
"WHGU","WHGU INC","5/28/26","100","$301.83","FIFO","$70,823.63","$24,482.46","$46,341.17","189.283143932432%","$46,341.17","189.283143932432%","--","--","No","","5/28/26","","","","","","",""
"KOWE","KOWE INC","6/2/26","100","$195.51","FIFO","$62,423.08","$14,986.31","$47,436.77","316.534023385343%","--","--","$47,436.77","316.534023385343%","No","","6/2/26","","","","","","",""
"WHGU","WHGU INC","6/3/26","100","$366.89","Tax Lot Optimizer","$74,757.74","$27,185.80","$47,571.94","174.988192365132%","$47,571.94","174.988192365132%","--","--","No","","6/3/26","","","","","","",""
"KOWE","KOWE INC","6/8/26","100","$143.73","FIFO","$71,988.71","$13,766.54","$58,222.17","422.925223040793%","--","--","$58,222.17","422.925223040793%","No","","6/8/26","","","","","","",""
"KOWE","KOWE INC","6/8/26","100","$174.32","FIFO","$60,192.13","$17,315.92","$42,876.21","247.611504326654%","--","--","$42,876.21","247.611504326654%","No","","6/8/26","","","","","","",""
"KOWE","KOWE INC","6/9/26","100","$144.23","LIFO","$42,067.19","$16,975.36","$25,091.83","147.8132422523%","--","--","$25,091.83","147.8132422523%","No","","6/9/26","","","","","","",""
"KOWE","KOWE INC","6/10/26","100","$194.40","FIFO","$71,662.67","$16,157.40","$55,505.27","343.528476116207%","--","--","$55,505.27","343.528476116207%","No","","6/10/26","","","","","","",""
"ENSY","ENSY LLC","6/16/26","100","$199.31","FIFO","$84,746.78","$11,875.78","$72,871.00","613.610221812799%","--","--","$72,871.00","613.610221812799%","No","","6/16/26","","","","","","",""
"IESY","IESY INC","6/29/26","446.77","$231.98","FIFO","$228,670.22","$104,600.52","$124,069.70","118.612890260966%","--","--","$124,069.70","118.612890260966%","No","","6/29/26","","","","","","",""
"IEU","IEU ADR","6/29/26","50","$346.09","LIFO","$71,888.41","$13,415.64","$58,472.77","435.855240599778%","--","--","$58,472.77","435.855240599778%","No","","6/29/26","","","","","","",""
"TIWN","TIWN CORP","7/17/26","100","$72.11","FIFO","$22,505.88","$8,090.03","$16,776.07","207.367216190793%","--","--","$16,776.07","207.367216190793%","Yes","$2,360.22 ","7/17/26","","","","","","",""
"TIWN","TIWN CORP","7/17/26","100","$63.96","LIFO","$24,540.66","$7,904.42","$16,636.24","210.467561187285%","--","--","$16,636.24","210.467561187285%","No","","7/17/26","","","","","","",""
"TIWN","TIWN CORP","7/30/26","100","$74.40","LIFO","$24,090.68","$5,787.58","$18,303.10","316.247896357372%","--","--","$18,303.10","316.247896357372%","No","","7/30/26","","","","","","",""
"TIWN","TIWN CORP","7/30/26","100","$57.73","LIFO","$26,131.67","$5,240.97","$20,890.70","398.603693591072%","--","--","$20,890.70","398.603693591072%","No","","7/30/26","","","","","","",""
"ENSY","ENSY LLC","8/3/26","100","$142.99","LIFO","$34,252.83","$16,657.77","$17,595.06","105.62674355571%","--","--","$17,595.06","105.62674355571%","No","","8/3/26","","","","","","",""
"KOWE","KOWE INC","8/12/26","100","$165.15","FIFO","$83,761.75","$19,578.80","$64,182.95","327.818609925021%","--","--","$64,182.95","327.818609925021%","No","","8/12/26","","","","","","",""
"ENSY","ENSY LLC","8/12/26","100","$166.12","LIFO","$38,796.16","$15,042.03","$23,754.13","157.918379367678%","--","--","$23,754.13","157.918379367678%","No","","8/12/26","","","","","","",""
"LUSW","LUSW INC","8/18/26","50","$405.77","LIFO","$75,641.54","$17,444.30","$58,197.24","333.617514030371%","--","--","$58,197.24","333.617514030371%","No","","8/18/26","","","","","","",""
"QTEZ","QTEZ INC","8/24/26","20","$717.66","FIFO","$61,119.25","$12,608.46","$48,510.79","384.747939082172%","--","--","$48,510.79","384.747939082172%","No","","8/24/26","","","","","","",""
"POST","POST CORP","8/27/26","100","$181.57","FIFO","$43,840.83","$12,141.23","$31,699.60","261.090515540847%","$31,699.60","261.090515540847%","--","--","No","","8/27/26","","","","","","",""
"POST","POST CORP","8/27/26","100","$147.04","LIFO","$45,494.98","$15,091.74","$30,403.24","201.456160787292%","--","--","$30,403.24","201.456160787292%","No","","8/27/26","$18,748.00 ","$26,746.98","142.665777682953%","","","$26,746.98","142.665777682953%"
"POST","POST CORP","8/27/26","100","$146.42","LIFO","$49,012.40","$8,803.61","$40,208.79","456.730704790421%","$40,208.79","456.730704790421%","--","--","No","","8/27/26","","","","","","",""
"WHGU","WHGU INC","8/27/26","100","$282.05","FIFO","$68,558.51","$23,099.10","$45,459.41","196.801650280747%","$45,459.41","196.801650280747%","--","--","No","","8/27/26","","","","","","",""
"ENSY","ENSY LLC","8/28/26","100","$134.85","LIFO","$57,719.83","$14,510.51","$43,209.32","297.779471569228%","--","--","$43,209.32","297.779471569228%","No","","8/28/26","","","","","","",""
"Total","","","","","","$4,231,970.59","$1,307,816.23","$2,928,076.63","223.890525506019%","$529,288.04","211.917028824891%","$2,398,788.59","226.716962194502%","","","","","","","","","",""
